method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
Boundary-only,1999,0.041052162647247314,0.041052162647247314,0.014501603320240974,0.0037516653537750244,0.34021469950675964,0.24373503029346466,0.06219346448779106
Temporal union,1999,0.03427998721599579,0.03427998721599579,0.1626429706811905,0.029079698026180267,4.608381271362305,0.23592408001422882,0.05773910507559776
Area-matched dilation,1999,0.0408802293241024,0.0408802293241024,0.017024395987391472,0.0040947189554572105,0.3668408989906311,0.24411508440971375,0.061145830899477005
Ours-Conservative,1999,0.0408526174724102,0.0408526174724102,0.017478294670581818,0.004145988263189793,0.3636014759540558,0.24332734942436218,0.061862651258707047
Ours-Balanced,1999,0.03869936242699623,0.03869936242699623,0.030683333054184914,0.00602165749296546,0.836999773979187,0.24441353976726532,0.060467541217803955
