clip,method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
camel,Boundary-only,90,0.027698535472154617,0.027698535472154617,0.02165750227868557,0.00698810163885355,0.2056407332420349,0.24774055182933807,0.06596841663122177
camel,Temporal union,90,0.020981185138225555,0.020981185138225555,0.09348545223474503,0.016925012692809105,1.7262561321258545,0.25350841879844666,0.05874582752585411
camel,Area-matched dilation,90,0.027162466198205948,0.027162466198205948,0.02568596787750721,0.00750443059951067,0.3235560655593872,0.24733403325080872,0.06457758694887161
camel,Ours-Conservative,90,0.027446620166301727,0.027446620166301727,0.025506339967250824,0.00745839299634099,0.3234100639820099,0.24609771370887756,0.06474016606807709
camel,Ours-Balanced,90,0.02465672977268696,0.02465672977268696,0.04254782572388649,0.00975070707499981,0.6925257444381714,0.2477702647447586,0.06278365850448608
car-roundabout,Boundary-only,75,0.046069417148828506,0.046069417148828506,0.012478332966566086,0.0036647594533860683,0.08959150314331055,0.3103102743625641,0.03023289330303669
car-roundabout,Temporal union,75,0.04469621181488037,0.04469621181488037,0.027260039001703262,0.005959206726402044,0.43116408586502075,0.3061366081237793,0.027941523119807243
car-roundabout,Area-matched dilation,75,0.045961011201143265,0.045961011201143265,0.015143279917538166,0.004134401213377714,0.13809339702129364,0.31250202655792236,0.03129330649971962
car-roundabout,Ours-Conservative,75,0.046171389520168304,0.046171389520168304,0.014838533475995064,0.004091938957571983,0.13837814331054688,0.3104468584060669,0.03073911741375923
car-roundabout,Ours-Balanced,75,0.0445273332297802,0.0445273332297802,0.022756101563572884,0.005204737186431885,0.283974826335907,0.30699679255485535,0.028850819915533066
car-shadow,Boundary-only,40,0.04569506645202637,0.04569506645202637,0.003987481817603111,0.001763427397236228,0.14075534045696259,0.26635080575942993,0.08566547930240631
car-shadow,Temporal union,40,0.04140884429216385,0.04140884429216385,0.028898954391479492,0.005321161355823278,1.55386483669281,0.25607219338417053,0.08945556730031967
car-shadow,Area-matched dilation,40,0.04711180925369263,0.04711180925369263,0.005210639908909798,0.0021949412766844034,0.22550491988658905,0.2660060524940491,0.08693121373653412
car-shadow,Ours-Conservative,40,0.045895371586084366,0.045895371586084366,0.005013416521251202,0.0019240176770836115,0.22470584511756897,0.26269739866256714,0.09107854217290878
car-shadow,Ours-Balanced,40,0.045156508684158325,0.045156508684158325,0.008814999833703041,0.0024656415916979313,0.4936353266239166,0.2595410645008087,0.09231169521808624
cows,Boundary-only,104,0.040338121354579926,0.040338121354579926,0.02838842384517193,0.00810072012245655,0.18688417971134186,0.23711512982845306,0.023629190400242805
cows,Temporal union,104,0.0305112823843956,0.0305112823843956,0.1134195327758789,0.020490216091275215,1.1799405813217163,0.22120703756809235,0.027334850281476974
cows,Area-matched dilation,104,0.03942527621984482,0.03942527621984482,0.03515489399433136,0.00892933551222086,0.28090202808380127,0.2364128977060318,0.024152113124728203
cows,Ours-Conservative,104,0.04019887000322342,0.04019887000322342,0.03595424070954323,0.008985484018921852,0.2846784293651581,0.2356923520565033,0.023691195994615555
cows,Ours-Balanced,104,0.036106355488300323,0.036106355488300323,0.05728708207607269,0.011695201508700848,0.5291658639907837,0.2333209216594696,0.021952880546450615
dance-twirl,Boundary-only,90,0.0523853674530983,0.0523853674530983,0.012934908270835876,0.003860185854136944,0.2587173581123352,0.22689953446388245,0.03395019471645355
dance-twirl,Temporal union,90,0.030951984226703644,0.030951984226703644,0.09573090076446533,0.01599336415529251,2.7396254539489746,0.21140757203102112,0.0335058756172657
dance-twirl,Area-matched dilation,90,0.051563553512096405,0.051563553512096405,0.015010586939752102,0.004145806189626455,0.3859877586364746,0.22709785401821136,0.03371758013963699
dance-twirl,Ours-Conservative,90,0.05236545205116272,0.05236545205116272,0.015106456354260445,0.004152760840952396,0.3858433663845062,0.22674742341041565,0.03404427692294121
dance-twirl,Ours-Balanced,90,0.04730752483010292,0.04730752483010292,0.02560482732951641,0.005536918994039297,0.8576618432998657,0.22621046006679535,0.033207155764102936
dog,Boundary-only,60,0.02831101603806019,0.02831101603806019,0.01082716602832079,0.0029332374688237906,0.1494327038526535,0.17535407841205597,0.0830254852771759
dog,Temporal union,60,0.029689455404877663,0.029689455404877663,0.19662921130657196,0.02624591253697872,3.5145375728607178,0.15428096055984497,0.10373436659574509
dog,Area-matched dilation,60,0.027830393984913826,0.027830393984913826,0.013012285344302654,0.0031766812317073345,0.22420944273471832,0.17473962903022766,0.08356299996376038
dog,Ours-Conservative,60,0.027596216648817062,0.027596216648817062,0.013653095811605453,0.003228547517210245,0.22554072737693787,0.17338086664676666,0.08424333482980728
dog,Ours-Balanced,60,0.023892970755696297,0.023892970755696297,0.02852657437324524,0.004906908608973026,0.5575802326202393,0.17479509115219116,0.07774103432893753
dogs-jump,Boundary-only,66,0.01756906509399414,0.01756906509399414,0.005603638011962175,0.0019168052822351456,0.2442615032196045,0.3463212251663208,0.035606902092695236
dogs-jump,Temporal union,66,0.01807493530213833,0.01807493530213833,0.19011114537715912,0.03676890954375267,4.3187079429626465,0.2501029968261719,0.0820811465382576
dogs-jump,Area-matched dilation,66,0.0174860842525959,0.0174860842525959,0.006174790672957897,0.0020106625743210316,0.3375084102153778,0.3462965488433838,0.03538621962070465
dogs-jump,Ours-Conservative,66,0.017981015145778656,0.017981015145778656,0.0057767778635025024,0.00198343419469893,0.3338913023471832,0.3443339169025421,0.036872707307338715
dogs-jump,Ours-Balanced,66,0.01705942116677761,0.01705942116677761,0.00839825626462698,0.0025238492526113987,0.6517177224159241,0.34403330087661743,0.036810096353292465
drift-chicane,Boundary-only,52,0.01875406689941883,0.01875406689941883,0.004211303777992725,0.0019698801916092634,0.286204069852829,0.12933218479156494,0.1600697636604309
drift-chicane,Temporal union,52,0.012880409136414528,0.012880409136414528,0.03015430085361004,0.005049531348049641,6.596408367156982,0.12673033773899078,0.13377296924591064
drift-chicane,Area-matched dilation,52,0.01991564780473709,0.01991564780473709,0.004458009731024504,0.0020018359646201134,0.3760734796524048,0.12778930366039276,0.15778376162052155
drift-chicane,Ours-Conservative,52,0.019478660076856613,0.019478660076856613,0.004339070525020361,0.002002374269068241,0.3765678405761719,0.12797775864601135,0.1539240926504135
drift-chicane,Ours-Balanced,52,0.018224280327558517,0.018224280327558517,0.0058381264097988605,0.0022458736784756184,1.043840765953064,0.12880419194698334,0.1472243070602417
drift-straight,Boundary-only,50,0.07917892187833786,0.07917892187833786,0.006438736338168383,0.0017524296417832375,0.15648728609085083,0.25063416361808777,0.06046242266893387
drift-straight,Temporal union,50,0.06764663010835648,0.06764663010835648,0.3725354075431824,0.07624349743127823,13.723265647888184,0.24718576669692993,0.030368424952030182
drift-straight,Area-matched dilation,50,0.07906612753868103,0.07906612753868103,0.008285308256745338,0.00211751158349216,0.2865586280822754,0.25081679224967957,0.05742504075169563
drift-straight,Ours-Conservative,50,0.07896928489208221,0.07896928489208221,0.008406308479607105,0.0021448987536132336,0.2860183119773865,0.25116997957229614,0.0559784360229969
drift-straight,Ours-Balanced,50,0.08275627344846725,0.08275627344846725,0.01833624392747879,0.0036941454745829105,0.8462806940078735,0.2631240487098694,0.043984413146972656
goat,Boundary-only,90,0.03726690262556076,0.03726690262556076,0.013102571479976177,0.0041596367955207825,0.22807598114013672,0.155314102768898,0.09793620556592941
goat,Temporal union,90,0.0314912423491478,0.0314912423491478,0.1558828502893448,0.02325485832989216,3.7091546058654785,0.15636716783046722,0.08494295179843903
goat,Area-matched dilation,90,0.03680282086133957,0.03680282086133957,0.015087676234543324,0.0044011264108121395,0.28930333256721497,0.15453118085861206,0.09546259045600891
goat,Ours-Conservative,90,0.03586077690124512,0.03586077690124512,0.015121685341000557,0.00440281443297863,0.28818923234939575,0.15454117953777313,0.10295361280441284
goat,Ours-Balanced,90,0.03235701099038124,0.03235701099038124,0.027964014559984207,0.0059182411059737206,0.6211649179458618,0.1535114198923111,0.10225702077150345
gold-fish,Boundary-only,78,0.012512844055891037,0.012512844055891037,0.018291877582669258,0.003073308849707246,0.19806639850139618,0.22536693513393402,0.010484902188181877
gold-fish,Temporal union,78,0.022694017738103867,0.022694017738103867,0.2267874926328659,0.03746112063527107,1.6071428060531616,0.21006478369235992,0.017976654693484306
gold-fish,Area-matched dilation,78,0.012176619842648506,0.012176619842648506,0.021943071857094765,0.0036883919965475798,0.32128193974494934,0.22649124264717102,0.010293856263160706
gold-fish,Ours-Conservative,78,0.012102112174034119,0.012102112174034119,0.022946318611502647,0.003792207222431898,0.32187750935554504,0.22699874639511108,0.0107724005356431
gold-fish,Ours-Balanced,78,0.011430898681282997,0.011430898681282997,0.049849431961774826,0.007669398561120033,0.6644600033760071,0.2204265296459198,0.013403594493865967
horsejump-high,Boundary-only,50,0.05445759743452072,0.05445759743452072,0.010189789347350597,0.0032304092310369015,0.38721802830696106,0.3532421588897705,0.022473452612757683
horsejump-high,Temporal union,50,0.04477239027619362,0.04477239027619362,0.06074663624167442,0.012340226210653782,4.24043607711792,0.35659247636795044,0.021353432908654213
horsejump-high,Area-matched dilation,50,0.05465321242809296,0.05465321242809296,0.010723156854510307,0.0033130720257759094,0.44481465220451355,0.35384541749954224,0.022256774827837944
horsejump-high,Ours-Conservative,50,0.05510483309626579,0.05510483309626579,0.011525116860866547,0.0033733632881194353,0.44818609952926636,0.35145077109336853,0.022728681564331055
horsejump-high,Ours-Balanced,50,0.05028005689382553,0.05028005689382553,0.018910016864538193,0.004536553751677275,1.0002107620239258,0.35358861088752747,0.02218528464436531
india,Boundary-only,81,0.033593352884054184,0.033593352884054184,0.012562110088765621,0.0027363530825823545,0.179391548037529,0.16861383616924286,0.08088913559913635
india,Temporal union,81,0.037336792796850204,0.037336792796850204,0.19053976237773895,0.033803097903728485,3.948004722595215,0.20733286440372467,0.053539589047431946
india,Area-matched dilation,81,0.03309996426105499,0.03309996426105499,0.016836324706673622,0.0034146024845540524,0.3001931607723236,0.17213253676891327,0.0723361000418663
india,Ours-Conservative,81,0.034491125494241714,0.034491125494241714,0.01757468283176422,0.0035118123050779104,0.2972789406776428,0.171085387468338,0.07267370074987411
india,Ours-Balanced,81,0.03762689232826233,0.03762689232826233,0.034534916281700134,0.006859473418444395,0.7359656691551208,0.19296284019947052,0.06809834390878677
judo,Boundary-only,34,0.01602739281952381,0.01602739281952381,0.006334968376904726,0.0018997797742486,0.1633596420288086,0.17605513334274292,0.12376483529806137
judo,Temporal union,34,0.01577857881784439,0.01577857881784439,0.12009511142969131,0.020424863323569298,1.927012324333191,0.17682957649230957,0.10970813035964966
judo,Area-matched dilation,34,0.015093068592250347,0.015093068592250347,0.007350328378379345,0.002085417276248336,0.23477695882320404,0.17600376904010773,0.12364505231380463
judo,Ours-Conservative,34,0.016194302588701248,0.016194302588701248,0.007007637992501259,0.0020178717095404863,0.23612619936466217,0.1761297732591629,0.12562601268291473
judo,Ours-Balanced,34,0.014701946638524532,0.014701946638524532,0.011749126017093658,0.0027427237946540117,0.4677976965904236,0.1773616224527359,0.11859212070703506
kite-surf,Boundary-only,50,0.023880934342741966,0.023880934342741966,0.013243943452835083,0.0025689646136015654,1.242764949798584,0.21980290114879608,0.0327162966132164
kite-surf,Temporal union,50,0.02143120765686035,0.02143120765686035,0.1582966446876526,0.01835489831864834,13.128016471862793,0.21533632278442383,0.030455876141786575
kite-surf,Area-matched dilation,50,0.026466846466064453,0.026466846466064453,0.010201830416917801,0.0021002215798944235,0.45472121238708496,0.2184371054172516,0.034188639372587204
kite-surf,Ours-Conservative,50,0.02561727724969387,0.02561727724969387,0.01167407538741827,0.0022480948828160763,0.4714910089969635,0.21884222328662872,0.034141384065151215
kite-surf,Ours-Balanced,50,0.022852640599012375,0.022852640599012375,0.016430454328656197,0.002979251090437174,1.901970386505127,0.22036205232143402,0.03166300430893898
