backend,analysis,sources,mean_or_median_delta,ci95_low,ci95_high,wins
ProPainter,leave_single_largest_gain_out_mean,29,0.7528915405273438,0.296788294561978,1.2921514217195835,25
E2FGVI-HQ,leave_single_largest_gain_out_mean,29,0.6323186857946987,0.252603934962174,1.0683602429669474,22
ProPainter,source_median,30,0.33300280570983887,0.17798900604248047,0.5551645755767822,26
E2FGVI-HQ,source_median,30,0.26081061363220215,0.12431812286376953,0.3877410888671875,23
