backend,metric,sources,mean_delta,ci95_low,ci95_high,better_sources
ProPainter,masked_psnr,30,1.204928986231486,0.40013582527637487,2.334851875901221,26
ProPainter,masked_ssim,30,0.04656902501980464,0.023755601433416207,0.0732085959799587,25
ProPainter,masked_mae,30,-0.022997152370711166,-0.04249380810651928,-0.007792305611073978,24
ProPainter,outside_mae,30,-8.399937263069054e-05,-0.00011508204227235789,-5.5291823227889885e-05,26
ProPainter,boundary_te,30,-0.0030322090024128556,-0.0066970293464449545,0.0007359068314932814,21
ProPainter,extra_mask_ratio,30,-0.029879483192538223,-0.03738714986907629,-0.02275210780285609,30
E2FGVI-HQ,masked_psnr,30,1.1012778838475545,0.33900399843851725,2.2145532896121343,23
E2FGVI-HQ,masked_ssim,30,0.0375774030884107,0.016114716231822968,0.06718344740569583,23
E2FGVI-HQ,masked_mae,30,-0.020189307754238446,-0.0392015216841052,-0.006992602056513241,24
E2FGVI-HQ,outside_mae,30,-0.00012031348924210761,-0.00016368625240223387,-8.05629145997955e-05,28
E2FGVI-HQ,boundary_te,30,-0.0023178416459510723,-0.005541269318200648,0.0005775630427524443,21
E2FGVI-HQ,extra_mask_ratio,30,-0.029879483192538223,-0.03752470043759483,-0.02278105807529452,30
