candidate,sources,samples,source_balanced_frame_log_mae,source_mean_log_mae,source_mean_spearman,source_prediction_std,source_target_std,source_std_fraction,check_log_mae,check_spearman,check_prediction_std,status
scalar_rank,35,1920,0.5866553772007617,0.480635042222359,0.17058823529411765,0.49712298279148504,0.5066690423097163,0.981159181396372,False,False,True,FAIL
scalar_absolute,35,1920,0.49524884041710493,0.3686255738640823,0.2327731092436975,0.37463975678673056,0.5066690423097163,0.7394171056492553,False,False,True,FAIL
ordinal_absolute,35,1920,0.5197576910057379,0.40729929232451184,0.2420168067226891,0.40099709737776396,0.5066690423097163,0.7914379286916107,False,False,True,FAIL
density_absolute,35,1920,0.32998234942716687,0.2576475752025797,0.6918767507002801,0.3303223116400106,0.5066690423097163,0.6519488740306564,True,True,True,PASS
density_absolute_temporal,35,1920,0.35465726179625884,0.25847909951435355,0.672829131652661,0.33016003194304017,0.5066690423097163,0.6516285866568104,True,True,True,PASS
