candidate,reference,sources,mean_recovery_delta,ci95_low,ci95_high,source_wins,source_ties,mean_added_precision_delta
density_absolute,exact_area_distance,35,0.07535818665037655,0.06344489036848096,0.08704723139749218,35,0,0.0858203348963892
density_absolute,exact_area_sam2_mean,35,0.14648432124854147,0.09935706333873129,0.20249920605346594,34,0,0.11011498807120208
density_absolute_temporal,exact_area_distance,35,0.0731888652499937,0.062009434050627595,0.0841902955722699,35,0,0.0861743181485199
density_absolute_temporal,exact_area_sam2_mean,35,0.1456577046290913,0.09821396441420299,0.20233640055209834,35,0,0.10573612341576344
